poem	emotion1	emotion2
es kann im Kampfe dein	Sadness	Beauty / Joy
Genosse sein.	Sadness	Beauty / Joy
Er sieht hinüber	Sadness	Sadness
und zieht vorüber...	Sadness	Sadness
Zwei fremde Augen, ein kurzer Blick,	Sadness	Sadness
die Braue, Pupillen, die Lider.	Sadness	Sadness
Was war das?	Sadness	Awe / Sublime
Von der großen Menschheit ein Stück!	Sadness	Awe / Sublime
Vorbei, verweht, nie wieder.	Sadness	Awe / Sublime
Es wird der bleiche tod mit seiner kalten hand	Sadness	Uneasiness
Dir endlich mit der zeit umb deine brüste streichen /	Sadness	Uneasiness
Der liebliche corall der lippen wird verbleichen;	Sadness	Sadness
Der schultern warmer schnee wird werden kalter sand /	Sadness	Sadness
Der ugen süsser blitz / die kräffte deiner hand /	Sadness	Sadness
Für welchen solches fällt / die werden zeitlich weichen /	Sadness	Sadness
Das haar / das itzund kan des goldes glantz erreichen /	Sadness	Sadness
Tilget endlich tag und jahr als ein gemeines band.	Sadness	Sadness
Der wohlgesetzte fuß / die lieblichen gebärden /	Sadness	Sadness
Die werden theils zu staub / theils nichts und nichtig werden /	Sadness	Sadness
Denn opfert keiner mehr der gottheit deiner pracht.	Sadness	Sadness
Diß und noch mehr als diß muß endlich untergehen /	Awe / Sublime	Beauty / Joy
Dein hertze kan allein zu aller zeit bestehen /	Awe / Sublime	Beauty / Joy
Dieweil es die natur aus diamant gemacht.	Awe / Sublime	Beauty / Joy
Wunderseliger Mann, welcher der Stadt entfloh!	Beauty / Joy	Beauty / Joy
Jedes Säuseln des Baums, jedes Geräusch des Bachs,	Beauty / Joy	Beauty / Joy
Jeder blinkende Kiesel,	Beauty / Joy	Beauty / Joy
Predigt Tugend und Weisheit ihm!	Beauty / Joy	Beauty / Joy
Jedes Schattengesträuch ist ihm ein heiliger	Beauty / Joy	Beauty / Joy
Tempel, wo ihm sein Gott näher vorüberwallt;	Beauty / Joy	Beauty / Joy
Jeder Rasen ein Altar,	Beauty / Joy	Beauty / Joy
Wo er vor dem Erhabnen kniet.	Beauty / Joy	Beauty / Joy
Seine Nachtigall tönt Schlummer herab auf ihn,	Beauty / Joy	Beauty / Joy
Seine Nachtigall weckt flötend ihn wieder auf,	Beauty / Joy	Beauty / Joy
Wenn das liebliche Frühroth	Beauty / Joy	Beauty / Joy
Durch die Bäum' auf sein Bette scheint.	Beauty / Joy	Beauty / Joy
Dann bewundert er dich, Gott, in der Morgenflur,	Awe / Sublime	Awe / Sublime
In der steigenden Pracht deiner Verkünderin,	Awe / Sublime	Awe / Sublime
Der allherrlichen Sonne,	Awe / Sublime	Awe / Sublime
Dich im Wurm, und im Knospenzweig.	Awe / Sublime	Awe / Sublime
Ruht im wehenden Gras, wann sich die Kühl' ergießt,	Beauty / Joy	Beauty / Joy
Oder strömet den Quell über die Blumen aus;	Beauty / Joy	Beauty / Joy
Trinkt den Athem der Blüthe,	Beauty / Joy	Beauty / Joy
Trinkt die Milde der Abendluft.	Beauty / Joy	Beauty / Joy
Sein bestrohetes Dach, wo sich das Taubenvolk	Beauty / Joy	Beauty / Joy
Sonnt, und spielet und hüpft, winket ihm süßre Rast,	Beauty / Joy	Beauty / Joy
Als dem Städter der Goldsaal,	Beauty / Joy	Beauty / Joy
Als der Polster der Städterin.	Beauty / Joy	Beauty / Joy
Und der spielende Trupp schwirret zu ihm herab,	Vitality	Beauty / Joy
Gurrt und säuselt ihn an, flattert ihm auf den Korb;	Vitality	Beauty / Joy
Picket Krumen und Erbsen,	Vitality	Beauty / Joy
Picket Körner ihm aus der Hand.	Vitality	Beauty / Joy
Einsam wandelt er oft, Sterbegedanken voll,	Sadness	Sadness
Durch die Gräber des Dorfs, sezet sich auf ein Grab,	Sadness	Sadness
Und beschauet die Kreuze,	Sadness	Sadness
Und den wehenden Todtenkranz.	Sadness	Sadness
Wunderseliger Mann, welcher der Stadt entfloh!	Beauty / Joy	Beauty / Joy
Engel segneten ihn, als er geboren ward,	Beauty / Joy	Beauty / Joy
Streuten Blumen des Himmels	Beauty / Joy	Beauty / Joy
Auf die Wiege des Knaben aus.	Beauty / Joy	Beauty / Joy
Es schlug mein Herz, geschwind zu Pferde!	Vitality	Suspense
Es war getan fast eh gedacht;	Vitality	Suspense
Der Abend wiegte schon die Erde	Beauty / Joy	Beauty / Joy
Und an den Bergen hing die Nacht	Beauty / Joy	Beauty / Joy
Schon stand im Nebelkleid die Eiche	Beauty / Joy	Uneasiness
Ein aufgetürmter Riese, da,	Uneasiness	Uneasiness
Wo Finsternis aus dem Gesträuche	Uneasiness	Uneasiness
Mit hundert schwarzen Augen sah.	Uneasiness	Uneasiness
Der Mond von einem Wolkenhügel	Beauty / Joy	Uneasiness
Sah kläglich aus dem Duft hervor;	Beauty / Joy	Uneasiness
Die winde schwangen leise Flügel	Beauty / Joy	Uneasiness
Umsausten schauerlich mein Ohr	Uneasiness	Uneasiness
Die Nacht schuf tausend Ungeheuer	Uneasiness	Uneasiness
Doch frisch und fröhlich war mein Mut	Vitality	Vitality
In meinen Adern welches Feuer!	Vitality	Vitality
In meinen Herzen welche Glut!	Vitality	Vitality
Dich sah ich, und die milde Freude	Beauty / Joy	Beauty / Joy
Floß von dem süßen Blick auf mich;	Beauty / Joy	Beauty / Joy
Ganz war mein Herz an deiner Seite	Beauty / Joy	Beauty / Joy
Und jeder Atemzug für dich.	Beauty / Joy	Beauty / Joy
Ein rosafarbenes Frühlingswetter	Beauty / Joy	Beauty / Joy
Umgab das liebliche Gesicht,	Beauty / Joy	Beauty / Joy
Und Zärtlichkeit für mich - ihr Götter!	Vitality	Beauty / Joy
Ich hofft es, ich verdient es nicht!	Vitality	Beauty / Joy
Doch, ach schon mit der Morgensonne	Sadness	Sadness
Verengt der Abschied mir das Herz	Sadness	Sadness
In deinen Küssen welche Wonne!	Sadness	Sadness
In deinem Auge welcher Schmerz!	Sadness	Beauty / Joy
Ich ging und du standst und sahst zu Erden	Sadness	Sadness
Und sahst mir nach mit nassen Blick:	Sadness	Sadness
Und doch welch Glück geliebt zu werden!	Vitality	Beauty / Joy
Und lieben, Götter, welch ein Glück!	Vitality	Beauty / Joy
Frühling soll mit süßen Blicken	Beauty / Joy	Beauty / Joy
Mich entzücken und berücken,	Beauty / Joy	Beauty / Joy
Sommer mich mit Frucht und Myrthen	Beauty / Joy	Beauty / Joy
Reich bewirten, froh umgürten.	Beauty / Joy	Beauty / Joy
Herbst, du sollst mich Haushalt lehren,	Beauty / Joy	Vitality
Zu entbehren, zu begehren,	Beauty / Joy	Vitality
Und du Winter lehr mich sterben,	Beauty / Joy	Vitality
Mich verderben, Frühling erben.	Beauty / Joy	Vitality
Wenn der uralte,	Awe / Sublime	Awe / Sublime
Heilige Vater	Awe / Sublime	Awe / Sublime
Mit gelassener Hand	Awe / Sublime	Awe / Sublime
Aus rollenden Wolken	Awe / Sublime	Awe / Sublime
Segnende Blitze	Awe / Sublime	Awe / Sublime
Über die Erde sät	Awe / Sublime	Awe / Sublime
Küss ich den letzten	Awe / Sublime	Awe / Sublime
Saum seines Kleides,	Awe / Sublime	Awe / Sublime
Kindliche Schauer	Awe / Sublime	Awe / Sublime
Treu in der Brust.	Awe / Sublime	Awe / Sublime
Denn mit Göttern	Beauty / Joy	Vitality
Soll sich nicht messen	Beauty / Joy	Vitality
Irgend ein Mensch.	Beauty / Joy	Vitality
Hebt er sich aufwärts	Beauty / Joy	Beauty / Joy
Und berührt	Beauty / Joy	Beauty / Joy
Mit dem Scheitel die Sterne,	Beauty / Joy	Beauty / Joy
Nirgends haften dann	Beauty / Joy	Beauty / Joy
Die unsichern Sohlen,	Beauty / Joy	Beauty / Joy
Und mit ihm spielen	Beauty / Joy	Beauty / Joy
Wolken und Winde.	Beauty / Joy	Beauty / Joy
Steht er mit festen,	Beauty / Joy	Beauty / Joy
Markigen Knochen	Beauty / Joy	Beauty / Joy
Auf der wohlgegründeten	Beauty / Joy	Beauty / Joy
Dauernden Erde,	Beauty / Joy	Beauty / Joy
Reicht er nicht auf,	Beauty / Joy	Beauty / Joy
Nur mit der Eiche	Beauty / Joy	Beauty / Joy
Oder der Rebe	Beauty / Joy	Beauty / Joy
Sich zu vergleichen.	Beauty / Joy	Beauty / Joy
Was underscheidet	Awe / Sublime	Awe / Sublime
Götter von Menschen?	Awe / Sublime	Awe / Sublime
Daß viele Wellen	Awe / Sublime	Awe / Sublime
Vor jenen wandeln,	Awe / Sublime	Awe / Sublime
Ein ewiger Strom:	Awe / Sublime	Awe / Sublime
Uns hebt die Welle,	Awe / Sublime	Awe / Sublime
Verschlingt die Welle,	Awe / Sublime	Awe / Sublime
Und wir versinken.	Awe / Sublime	Awe / Sublime
Ein kleiner Ring	Awe / Sublime	Awe / Sublime
Begrenzt unser Leben,	Awe / Sublime	Awe / Sublime
Und viele Geschlechter	Awe / Sublime	Awe / Sublime
Reihen sie dauernd,	Awe / Sublime	Awe / Sublime
An ihres Daseins	Awe / Sublime	Awe / Sublime
Unendliche Kette.	Awe / Sublime	Awe / Sublime
Größers wolltest auch du, aber die Liebe zwingt	Sadness	Sadness
All uns nieder, das Leid beuget gewaltiger,	Sadness	Sadness
Doch es kehret umsonst nicht	Sadness	Sadness
Unser Bogen, woher er kommt.	Sadness	Sadness
Aufwärts oder hinab! herrschet in heilger Nacht,	Sadness	Sadness
Wo die stumme Natur werdende Tage sinnt,	Sadness	Sadness
Herrscht im schiefesten Orkus	Sadness	Sadness
Nicht ein Grades, ein Recht noch auch?	Sadness	Sadness
Dies erfuhr ich. Denn nie, sterblichen Meistern gleich,	Sadness	Sadness
Habt ihr Himmlischen, ihr Alleserhaltenden,	Sadness	Sadness
Daß ich wüßte, mit Vorsicht	Sadness	Sadness
Mich des ebenen Pfads geführt.	Sadness	Sadness
Alles prüfe der Mensch, sagen die Himmlischen,	Awe / Sublime	Vitality
Daß er, kräftig genährt, danken für Alles lern',	Awe / Sublime	Vitality
Und verstehe die Freiheit,	Awe / Sublime	Vitality
Aufzubrechen, wohin er will.	Awe / Sublime	Vitality
Mein oft bestürmtes Schiff, der grimmen Winde Spiel,	Beauty / Joy	Beauty / Joy
Der frechen Wellen Ball, das schier die Flut getrennet,	Beauty / Joy	Beauty / Joy
Das über Klipp' auf Klipp' und Schaum und Sand gerennet,	Beauty / Joy	Beauty / Joy
Kommt vor der zeit an' Port, den meine Seele will.	Beauty / Joy	Beauty / Joy
Oft, wenn uns schwarze Nacht im Mittag überfiel,	Uneasiness	Uneasiness
Hat der geschwinde Blitz die Segel schier verbrennet!	Uneasiness	Uneasiness
Wie oft hab' ich den Wind und Nord und Süd verkennet!	Uneasiness	Uneasiness
Wie schadhaft ist der Mast, Steu'rruder, Schwert und Kiel.	Uneasiness	Uneasiness
Steig aus, du müder Geist! Steig aus! Wir sind am Lande!	Vitality	Vitality
Was graut dir für dem Port? Jetzt wirst du aller Bande	Vitality	Vitality
Und Angst und herber Pein und schwerer Schmerzen los.	Vitality	Vitality
Ade, verfluchte Welt. Du See voll rauher Stürme:	Beauty / Joy	Beauty / Joy
Glück zu, mein Vaterland, das stete Ruh' im Schirme	Beauty / Joy	Beauty / Joy
Und Schutz und Frieden hält, du ewiglichtes Schloß!	Beauty / Joy	Beauty / Joy
Wir sind durch Not und Freude	Beauty / Joy	Beauty / Joy
Gegangen Hand in Hand,	Beauty / Joy	Beauty / Joy
Vom Wandern ruhen wir beide	Beauty / Joy	Beauty / Joy
Nun überm stillen Land.	Beauty / Joy	Beauty / Joy
Rings sich die Täler neigen,	Beauty / Joy	Beauty / Joy
Es dunkelt schon die Luft,	Beauty / Joy	Beauty / Joy
Zwei Lerchen nur noch steigen	Beauty / Joy	Beauty / Joy
Nachträumend in den Duft.	Beauty / Joy	Beauty / Joy
Tritt her und laß sie schwirren,	Suspense	Vitality
Bald ist es Schlafenszeit,	Suspense	Vitality
Daß wir uns nicht verirren	Suspense	Vitality
In dieser Einsamkeit.	Suspense	Vitality
O weiter, stiller Friede!	Beauty / Joy	Beauty / Joy
So tief im Abendrot ,	Beauty / Joy	Beauty / Joy
Wie sind wir wandermüde ?	Beauty / Joy	Beauty / Joy
Ist das etwa der Tod?	Beauty / Joy	Beauty / Joy
Ich ging nach Haus und schlief, als ob	Beauty / Joy	Beauty / Joy
Die Engel gewiegt mich hätten.	Beauty / Joy	Beauty / Joy
Man ruht in deutschen Betten so weich,	Beauty / Joy	Beauty / Joy
Denn das sind Federbetten.	Beauty / Joy	Beauty / Joy
Wie sehnt ich mich oft nach der Süßigkeit	Beauty / Joy	Sadness
Des vaterländischen Pfühles,	Beauty / Joy	Sadness
Wenn ich auf harten Matratzen lag,	Beauty / Joy	Sadness
In der schlaflosen Nacht des Exiles!	Beauty / Joy	Sadness
Man schläft sehr gut und träumt auch gut	Beauty / Joy	Beauty / Joy
In unseren Federbetten.	Beauty / Joy	Beauty / Joy
Hier fühlt die deutsche Seele sich frei	Beauty / Joy	Beauty / Joy
Von allen Erdenketten.	Beauty / Joy	Beauty / Joy
Sie fühlt sich frei und schwingt sich empor	Beauty / Joy	Beauty / Joy
Zu den höchsten Himmelsräumen.	Beauty / Joy	Beauty / Joy
O deutsche Seele, wie stolz ist dein Flug	Beauty / Joy	Beauty / Joy
In deinen nächtlichen Träumen!	Beauty / Joy	Beauty / Joy
Die Götter erbleichen, wenn du nahst!	Humor	Suspense
Du hast auf deinen Wegen	Humor	Suspense
Gar manches Sternlein ausgeputzt	Humor	Suspense
Mit deinen Flügelschlägen!	Humor	Suspense
Franzosen und Russen gehört das Land,	Humor	Suspense
Das Meer gehört den Briten,	Humor	Suspense
Wir aber besitzen im Luftreich des Traums	Humor	Suspense
Die Herrschaft unbestritten.	Humor	Suspense
Hier üben wir die Hegemonie,	Humor	Suspense
Hier sind wir unzerstückelt;	Humor	Suspense
Die andern Völker haben sich	Humor	Suspense
Auf platter Erde entwickelt. ? ?	Humor	Suspense
Und als ich einschlief, da träumte mir,	Suspense	Beauty / Joy
Ich schlenderte wieder im hellen	Suspense	Beauty / Joy
Mondschein die hallenden Straßen entlang,	Suspense	Beauty / Joy
In dem altertümlichen Köllen.	Suspense	Beauty / Joy
Und hinter mir ging wieder einher	Uneasiness	Uneasiness
Mein schwarzer, vermummter Begleiter.	Uneasiness	Uneasiness
Ich war so müde, mir brachen die Knie,	Uneasiness	Uneasiness
Doch immer gingen wir weiter.	Uneasiness	Uneasiness
Wir gingen weiter. Mein Herz in der Brust	Uneasiness	Uneasiness
War klaffend aufgeschnitten,	Uneasiness	Uneasiness
Und aus der Herzenswunde hervor	Uneasiness	Uneasiness
Die roten Tropfen glitten.	Uneasiness	Uneasiness
Ich tauchte manchmal die Finger hinein,	Uneasiness	Uneasiness
Und manchmal ist es geschehen,	Uneasiness	Uneasiness
Daß ich die Haustürpfosten bestrich	Uneasiness	Uneasiness
Mit dem Blut im Vorübergehen.	Uneasiness	Uneasiness
Und jedesmal, wenn ich ein Haus	Sadness	Sadness
Bezeichnet in solcher Weise,	Sadness	Sadness
Ein Sterbeglöckchen erscholl fernher,	Sadness	Sadness
Wehmütig wimmernd und leise.	Sadness	Sadness
Am Himmel aber erblich der Mond,	Uneasiness	Uneasiness
Er wurde immer trüber;	Uneasiness	Uneasiness
Gleich schwarzen Rossen jagten an ihm	Uneasiness	Uneasiness
Die wilden Wolken vorüber.	Uneasiness	Uneasiness
Und immer ging hinter mir einher	Uneasiness	Uneasiness
Mit seinem verborgenen Beile	Uneasiness	Uneasiness
Die dunkle Gestalt ? so wanderten wir	Uneasiness	Uneasiness
Wohl eine gute Weile.	Uneasiness	Uneasiness
Wir gehen und gehen, bis wir zuletzt	Suspense	Suspense
Wieder zum Domplatz gelangen;	Suspense	Suspense
Weit offen standen die Pforten dort,	Suspense	Suspense
Wir sind hineingegangen.	Suspense	Suspense
Es herrschte im ungeheuren Raum	Uneasiness	Suspense
Nur Tod und Nacht und Schweigen;	Uneasiness	Suspense
Es brannten Ampeln hie und da,	Uneasiness	Suspense
Um die Dunkelheit recht zu zeigen.	Uneasiness	Suspense
Ich wandelte lange den Pfeilern entlang	Uneasiness	Uneasiness
Und hörte nur die Tritte	Uneasiness	Uneasiness
Von meinem Begleiter, er folgte mir	Uneasiness	Uneasiness
Auch hier bei jedem Schritte.	Uneasiness	Uneasiness
Wir kamen endlich zu einem Ort,	Beauty / Joy	Beauty / Joy
Wo funkelnde Kerzenhelle	Beauty / Joy	Beauty / Joy
Und blitzendes Gold und Edelstein;	Beauty / Joy	Beauty / Joy
Das war die Drei-Königs-Kapelle.	Beauty / Joy	Beauty / Joy
Die Heil'gen Drei Könige jedoch,	Uneasiness	Suspense
Die sonst so still dort lagen,	Uneasiness	Suspense
O Wunder! sie saßen aufrecht jetzt	Uneasiness	Suspense
Auf ihren Sarkophagen.	Uneasiness	Suspense
Drei Totengerippe, phantastisch geputzt,	Uneasiness	Beauty / Joy
Mit Kronen auf den elenden	Uneasiness	Beauty / Joy
Vergilbten Schädeln, sie trugen auch	Uneasiness	Beauty / Joy
Das Zepter in knöchernen Händen.	Uneasiness	Beauty / Joy
Wie Hampelmänner bewegten sie	Uneasiness	Beauty / Joy
Die längstverstorbenen Knochen;	Uneasiness	Beauty / Joy
Die haben nach Moder und zugleich	Uneasiness	Beauty / Joy
Nach Weihrauchduft gerochen.	Uneasiness	Beauty / Joy
Der eine bewegte sogar den Mund	Humor	Beauty / Joy
Und hielt eine Rede, sehr lange;	Humor	Beauty / Joy
Er setzte mir auseinander, warum	Humor	Beauty / Joy
Er meinen Respekt verlange.	Humor	Beauty / Joy
Zuerst weil er ein Toter sei,	Humor	Humor
Und zweitens weil er ein König,	Humor	Humor
Und drittens weil er ein Heil'ger sei ?	Humor	Humor
Das alles rührte mich wenig.	Humor	Humor
Ich gab ihm zur Antwort lachenden Muts:	Humor	Humor
»Vergebens ist deine Bemühung!	Humor	Humor 
Ich sehe, daß du der Vergangenheit	Humor	Humor
Gehörst in jeder Beziehung.	Humor	Humor
Fort! fort von hier! im tiefen Grab	Vitality	Humor
Ist eure natürliche Stelle.	Vitality	Humor
Das Leben nimmt jetzt in Beschlag	Vitality	Humor
Die Schätze dieser Kapelle.	Vitality	Humor
Der Zukunft fröhliche Kavallerie	Vitality	Humor
Soll hier im Dome hausen,	Vitality	Humor
Und weicht ihr nicht willig, so brauch ich Gewalt	Vitality	Humor
Und laß euch mit Kolben lausen!«	Vitality	Humor
So sprach ich, und ich drehte mich um,	Suspense	Suspense
Da sah ich furchtbar blinken	Suspense	Suspense
Des stummen Begleiters furchtbares Beil ?	Suspense	Suspense
Und er verstand mein Winken.	Suspense	Suspense
Er nahte sich, und mit dem Beil	Uneasiness	Uneasiness
Zerschmetterte er die armen	Uneasiness	Uneasiness
Skelette des Aberglaubens, er schlug	Uneasiness	Uneasiness
Sie nieder ohn' Erbarmen.	Uneasiness	Uneasiness
Es dröhnte der Hiebe Widerhall	Uneasiness	Uneasiness
Aus allen Gewölben, entsetzlich! ?	Uneasiness	Uneasiness
Blutströme schossen aus meiner Brust,	Uneasiness	Uneasiness
Und ich erwachte plötzlich.	Uneasiness	Uneasiness
Zwei Segel erhellend	Vitality	Beauty / Joy
Die tiefblaue Bucht!	Vitality	Beauty / Joy
Zwei Segel sich schwellend	Vitality	Beauty / Joy
Zu ruhiger Flucht!	Vitality	Beauty / Joy
Wie eins in den Winden	Vitality	Beauty / Joy
Sich wölbt und bewegt,	Vitality	Beauty / Joy
Wird auch das Empfinden	Vitality	Beauty / Joy
Des andern erregt.	Vitality	Beauty / Joy
Begehrt eins zu hasten,	Vitality	Vitality
Das andre geht schnell,	Vitality	Vitality
Verlangt eins zu rasten,	Vitality	Vitality
Ruht auch sein Gesell.	Vitality	Vitality
Deine Seele, die die meine liebet,	Beauty / Joy	Beauty / Joy
Ist verwirkt mit ihr im Teppichtibet.	Beauty / Joy	Beauty / Joy
Strahl in Strahl, verliebte Farben,	Beauty / Joy	Beauty / Joy
Sterne, die sich himmellang umwarben.	Beauty / Joy	Beauty / Joy
Unsere Füße ruhen auf der Kostbarkeit,	Beauty / Joy	Beauty / Joy
Maschentausendabertausendweit.	Beauty / Joy	Beauty / Joy
Süßer Lamasohn auf Moschuspflanzenthron,	Beauty / Joy	Beauty / Joy
Wie lange küßt Dein Mund den meinen wohl	Beauty / Joy	Beauty / Joy
Und Wang die Wange buntgeknüpfte Zeiten schon?	Beauty / Joy	Beauty / Joy
In Maiensaaten liegen eng die Leichen,	Annoyance	Sadness
Im grünen Rain, auf Blumen, ihren Betten.	Annoyance	Sadness
Verlorne Waffen, Räder ohne Speichen,	Annoyance	Suspense
Und umgestürzt die eisernen Lafetten.	Annoyance	Suspense
Aus vielen Pfützen dampft des Blutes Rauch,	Uneasiness	Uneasiness
Die schwarz und rot den braunen Feldweg decken.	Uneasiness	Uneasiness
Und weißlich quillt der toten Pferde Bauch,	Uneasiness	Uneasiness
Die ihre Beine in die Frühe strecken.	Uneasiness	Uneasiness
Im kühlen Winde friert noch das Gewimmer	Sadness	Sadness
Von Sterbenden, da in des Osten Tore	Sadness	Sadness
Ein blasser Glanz erscheint, ein grüner Schimmer,	Sadness	Sadness
Das dünne Band der flüchtigen Aurore	Sadness	Sadness
Der Potsdamer Platz in ewigem Gebrüll	Vitality	Vitality
Vergletschert alle hallenden Lawinen	Vitality	Vitality
Der Straßentrakte: Trams auf Eisenschienen,	Vitality	Vitality
Automobile und den Menschenmüll.	Vitality	Vitality
Die Menschen rinnen über den Asphalt,	Vitality	Vitality
Ameisenemsig, wie Eidechsen flink.	Vitality	Vitality
Stirne und Hände, von Gedanken blink,	Vitality	Beauty / Joy
Schwimmen wie Sonnenlicht durch dunklen Wald.	Vitality	Beauty / Joy
Nachtregen hüllt den Platz in eine Höhle,	Beauty / Joy	Beauty / Joy
Wo Fledermäuse, weiß, mit Flügeln schlagen	Beauty / Joy	Beauty / Joy
Und lila Quallen liegen - bunte Öle;	Beauty / Joy	Beauty / Joy
Die mehren sich, zerschnitten von den Wagen. -	Uneasiness	Uneasiness
Aufspritzt Berlin, des Tages glitzernd Nest,	Uneasiness	Uneasiness
Vom Rauch der Nacht wie Eiter einer Pest.	Uneasiness	Uneasiness
Über den schwarzen Winkel hasten	Uneasiness	Uneasiness
Am Mittag die Raben mit hartem Schrei.	Uneasiness	Uneasiness
Ihr Schatten streift an der Hirschkuh vorbei	Uneasiness	Uneasiness
Und manchmal sieht man sie mürrisch rasten.	Uneasiness	Uneasiness
O wie sie die braune Stille stören,	Uneasiness	Uneasiness
In der ein Acker sich verzückt,	Uneasiness	Uneasiness
Wie ein Weib, das schwere Ahnung berückt,	Uneasiness	Uneasiness
Und manchmal kann man sie keifen hören	Uneasiness	Uneasiness
Um ein Aas, das sie irgendwo wittern,	Uneasiness	Uneasiness
Und plötzlich richten nach Nord sie den Flug	Uneasiness	Uneasiness
Und schwinden wie ein Leichenzug	Uneasiness	Uneasiness
In Lüften, die von Wollust zittern.	Uneasiness	Uneasiness
Ein starker Wind sprang empor.	Uneasiness	Uneasiness
Öffnet des eisernen Himmels blutende Tore.	Uneasiness	Uneasiness
Schlägt an die Türme.	Uneasiness	Uneasiness
Hellklingend laut geschmeidig über die eherne Ebene der Stadt.	Beauty / Joy	Beauty / Joy
Die Morgensonne rußig. Auf Dämmen donnern Züge.	Beauty / Joy	Beauty / Joy
Durch Wolken pflügen goldne Engelpflüge.	Beauty / Joy	Beauty / Joy
Starker Wind über der bleichen Stadt.	Uneasiness	Beauty / Joy
Dampfer und Kräne erwachen am schmutzig fließenden Strom.	Uneasiness	Beauty / Joy
Verdrossen klopfen die Glocken am verwitterten Dom.	Uneasiness	Beauty / Joy
Viele Weiber siehst du und Mädchen zur Arbeit gehn.	Vitality	Vitality
Im bleichen Licht. Wild von der Nacht. Ihre Röcke wehn.	Vitality	Vitality
Glieder zur Liebe geschaffen.	Vitality	Vitality
Hin zur Maschine und mürrischem Mühn.	Vitality	Vitality
Sieh in das zärtliche Licht.	Vitality	Vitality
In der Bäume zärtliches Grün.	Vitality	Vitality
Horch! Die Spatzen schrein.	Vitality	Vitality
Und draußen auf wilderen Feldern	Vitality	Vitality
singen Lerchen.	Vitality	Vitality
Wenn wir marschieren - Schritt um Schritt -	Vitality	Vitality
Wir lauschen: unser Herz schlägt mit.	Vitality	Vitality
Mein Herz und dein Herz, Kamerad.	Vitality	Vitality
Im gleichen Takt: Soldat! Soldat!	Vitality	Vitality
So Reih um Reihe - Schritt um Schritt -	Vitality	Vitality
Kolonnen stampfen gleichen Tritt.	Vitality	Vitality
Wir ahnen's groß, wir beten's schon:	Vitality	Vitality
Dies ist der Pulsschlag der Nation.	Vitality	Vitality
Wenn wir marschieren - Schritt um Schritt -	Vitality	Vitality
In unsrem Blute ziehen mit	Vitality	Vitality
Die Väter all, die Enkel schon:	Vitality	Vitality
Im ewigen Pulsschlag der Nation.	Vitality	Vitality
Soldat! Soldat! So Tritt um Tritt.	Annoyance	Vitality
Hört Deutschland, wie es stritt und litt!	Annoyance	Vitality
Hört Deutschland, wie es ewig zieht,	Annoyance	Vitality
Das beste Blut, ins Heldenlied!	Annoyance	Vitality
Denn lieben ist nichts mehr/ als eine schifferey/	Beauty / Joy	Sadness
Das schiff ist unser hertz/ den seilen kommen bey	Beauty / Joy	Sadness
Die sinn-verwirrungen. Das meer ist unser leben/	Beauty / Joy	Sadness
Die liebes-wellen sind die angst/ in der wir schweben/	Beauty / Joy	Sadness
Die segel/ wo hinein bläst der begierden wind/	Beauty / Joy	Awe / Sublime
Ist der gedancken tuch. Verlangen/ hoffnung sind	Beauty / Joy	Awe / Sublime
Die ancker. Der magnet ist schönheit. Unser strudel	Beauty / Joy	Awe / Sublime
Sind Bathseben. Der wein und überfluß die rudel.	Beauty / Joy	Awe / Sublime
Der stern/ nach welchem man die steiffen segel lenckt/	Beauty / Joy	Awe / Sublime
Ist ein benelckter mund. Der port/ wohin man denckt/	Beauty / Joy	Awe / Sublime
Ist eine schöne frau. Die ufer sind die brüste.	Beauty / Joy	Awe / Sublime
Die anfahrt ist ein kuß. Der zielzweck/ süsse lüste.	Beauty / Joy	Awe / Sublime
Wird aber hier umwölckt/ durch blinder brünste rauch	Sadness	Sadness
Die sonne der vernunfft/ so folgt der schiffbruch auch	Sadness	Sadness
Der seelen untergang/ und der verderb des leibes:	Sadness	Sadness
Denn beyde tödtet uns der lustbrauch eines weibes.	Sadness	Sadness
Herz, mein Herz, was soll das geben?	Vitality	Vitality
Was bedränget dich so sehr?	Vitality	Vitality
Welch ein fremdes, neues Leben!	Vitality	Vitality
Ich erkenne dich nicht mehr.	Vitality	Vitality
Weg ist alles, was du liebtest,	Vitality	Vitality
Weg, warum du dich betrübtest,	Vitality	Vitality
Weg dein Fleiß und deine Ruh ?	Vitality	Vitality
Ach, wie kamst du nur dazu!	Vitality	Vitality
Fesselt dich die Jugendblüte,	Beauty / Joy	Beauty / Joy
Diese liebliche Gestalt,	Beauty / Joy	Beauty / Joy
Dieser Blick voll Treu und Güte	Beauty / Joy	Beauty / Joy
Mit unendlicher Gewalt?	Beauty / Joy	Beauty / Joy
Will ich rasch mich ihr entziehen,	Sadness	Beauty / Joy
Mich ermannen, ihr entfliehen,	Sadness	Beauty / Joy
Führet mich im Augenblick,	Sadness	Beauty / Joy
Ach, mein Weg zu ihr zurück.	Sadness	Beauty / Joy
Und an diesem Zauberfädchen,	Sadness	Beauty / Joy
Das sich nicht zerreißen lässt,	Sadness	Beauty / Joy
Hält das liebe lose Mädchen	Sadness	Beauty / Joy
Mich so wider Willen fest;	Sadness	Beauty / Joy
Muss in ihrem Zauberkreise	Sadness	Vitality
Leben nun auf ihre Weise.	Sadness	Vitality
Die Verändrung, ach, wie groß!	Sadness	Vitality
